,session_id,DateTime,user_id,product,campaign_id,webpage_id,product_category_1,user_group_id,gender,age_level,user_depth,city_development_index,var_1,is_click
0,140690,2017-07-02 00:00,858557,C,359520,13787,4,10.0,Female,4.0,3.0,3.0,0,0
1,333291,2017-07-02 00:00,243253,C,105960,11085,5,8.0,Female,2.0,2.0,,0,0
2,129781,2017-07-02 00:00,243253,C,359520,13787,4,8.0,Female,2.0,2.0,,0,0
3,464848,2017-07-02 00:00,1097446,I,359520,13787,3,3.0,Male,3.0,3.0,2.0,1,0
4,90569,2017-07-02 00:01,663656,C,405490,60305,3,2.0,Male,2.0,3.0,2.0,1,0
5,151475,2017-07-02 00:01,509591,I,359520,13787,2,1.0,Male,1.0,3.0,,0,0
6,17583,2017-07-02 00:01,1091463,F,405490,60305,3,9.0,Female,3.0,3.0,4.0,0,0
7,461128,2017-07-02 00:01,469098,C,360936,13787,3,4.0,Male,4.0,3.0,4.0,0,0
8,390699,2017-07-02 00:02,611906,H,105960,11085,5,,,,,,0,0
9,353607,2017-07-02 00:02,418107,B,360936,13787,2,4.0,Male,4.0,3.0,4.0,0,0
