Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Gender,Country,Timestamp,Clicked on Ad
68.95,35.0,61833.9,256.09,Cloned 5thgeneration orchestration,Wrightburgh,Female,Tunisia,27-03-2016 00:53,0
,31.0,68441.85,193.77,Monitored national standardization,West Jodi,Male,Nauru,04-04-2016 01:39,0
69.47,26.0,59785.94,236.5,Organic bottom-line service-desk,Davidton,Female,San Marino,13-03-2016 20:35,0
74.15,29.0,54806.18,245.89,Triple-buffered reciprocal time-frame,West Terrifurt,Male,Italy,10-01-2016 02:31,0
68.37,35.0,73889.99,225.58,Robust logistical utilization,South Manuel,Female,Iceland,03-06-2016 03:36,0
59.99,23.0,59761.56,226.74,Sharable client-driven software,,Male,Norway,19-05-2016 14:30,0
88.91,33.0,53852.85,208.36,Enhanced dedicated support,Brandonstad,Female,Myanmar,28-01-2016 20:59,0
,48.0,24593.33,131.76,Reactive local challenge,Port Jefferybury,Male,Australia,07-03-2016 01:40,1
74.53,30.0,,221.51,Configurable coherent function,West Colin,Male,Grenada,18-04-2016 09:33,0
69.88,20.0,55642.32,183.82,Mandatory homogeneous architecture,Ramirezton,Male,Ghana,11-07-2016 01:42,0
